['S7 (Rhine-Main S-Bahn)', 'Rhine-Main S-Bahn']
['American University in Cairo Press', 'Publishing']
['Ellis Marsalis Sr.', 'New Orleans']
['José María Rojas Garrido', 'Senate of Colombia']
['Levente Gödry', 'Hungary']
['Roman Catholic Diocese of Fiorentino', 'Latin liturgical rites']
['100 St Georges Terrace', 'Storey']
['Shale shakers', 'Drilling']
['Gospel of Andrew', 'Pope Innocent I']
['Pierre Roques', 'Marseillan, Hérault']
['Betty Ehrenborg', 'Swedes']
['2022 New Orleans Saints season', '2022 NFL season']
['Estadio Hugo Bogado Vaceque', 'Stadium']
['1926–27 Divizia A', 'Liga I']
['Odd Starheim', 'Distinguished Service Order']
['Starfish (fashion label)', 'Fashion design']
['Michael Cassara', 'Cleveland Heights, Ohio']
['Nemophora', 'Genus']
['Shimansky equation', 'Enthalpy of vaporization']
['Banco Internacional de São Tomé e Príncipe', 'São Tomé and Príncipe']
['Yury Ambrazevich', 'Belarusian State University']
['Constantin S. Nicolăescu-Plopșor', 'Romania']
['Washington Adventist University', 'Private university']
['Echinoleucopis', 'Fly']
['Mick Hale', 'WPRB']
['Gio Benitez', 'ABC News']
['List of Italian football transfers summer 2010 (July)', 'Amauri']
['Bulldog Turner', 'American football']
['Okenia', 'Doridacea']
['CIBE-FM', 'First Nations in Canada']
['Bas Kuipers', 'Association football']
['Jahn']
['Władysława Markiewiczówna', 'Bochnia']
['Georgi Panayotov', 'Bulgarian language']
['Purcellville Gazette', 'Tabloid (newspaper format)']
['Hermann Ritter von Speck', 'World War II']
['Bindahara phocides', 'Butterfly']
['Geert-Maarten Mol', 'One Day International']
['Zaharija', 'Serbian Cyrillic alphabet']
['David Boswell Reid', 'Fellowship of the Royal Society of Edinburgh']
['Gholson, Mississippi', 'Unincorporated area']
['Stranvaesia nussia', 'Evergreen']
['List of Knights and Dames Grand Cross of the Royal Victorian Order appointed by Elizabeth II (2003–2022)', 'Royal Victorian Order']
['Rodney County, New Zealand', 'Counties of New Zealand']
['Mercury selenide', 'Mercury (element)']
['Augustin Andriamananoro', 'Soamahamanina']
['Cycling at the 2022 South American Games', 'Cycling']
['Boyovut', 'Uzbek language']
['Sos and Victoria Petrosyan', 'Quick-change (performance)']
['Candidates in the 2019 United Kingdom general election', '2019 United Kingdom general election']
['Two thousand stripling warriors', 'Book of Mormon']
['Donatas Tarolis', 'Basketball']
['Googie Withers', 'Order of the British Empire']
['ARY Film Award for Best Makeup and Hairstyling', 'ARY Film Awards']
['FMA SAIA 90', 'Air superiority fighter']
['Beverly White', 'Utah House of Representatives']
['Maximinus Thrax', 'Thracians']
['Furley, Kansas', 'Unincorporated area']
['Miss Idaho USA', 'Idaho']
['Distichlis', 'Genus']
['Sport Press', 'Macedonian language']
['Jatne', 'Village']
["St Joseph's Football & Netball Club", 'Australian rules football']
['Sochonie', 'Village']
['2002 United States House of Representatives elections in Hawaii', 'Hawaii']
['Chirbury', 'Shropshire']
['Pampaleti', 'Georgian language']
['Ed Frutig', 'American football']
['States of India by Malayalam speakers', 'States and union territories of India']
['School of Philosophy and Letters, UNAM', 'National Autonomous University of Mexico']
['Cycle Force Group', 'Ross (bicycle company)']
['Julie Curry', 'Granite City, Illinois']
['Kampong Chhnang (National Assembly constituency)', 'Khmer language']
['Chal Gerd-e Keshtvarzeh', 'Persian language']
['The Ghosts of Versailles', 'Opera']
['Blake Works I', 'William Forsythe (choreographer)']
['Messiah (rapper)', 'Harlem']
['FYTA', 'Greek language']
['Hostinné', 'German language']
['Paradeudorix', 'Butterfly']
['Burton 4-H Center', '4-H']
['Rampage (1986 film)', 'Turkish language']
['Until Tomorrow', 'Soap opera']
['Spotlight Kid (band)', 'Nottingham']
['Brazilian Marine Corps', 'Portuguese language']
['Equine metabolic syndrome', 'Endocrinology']
['Ulrich Wenger', 'Cross-country skiing (sport)']
['Peter Blackbourn', 'Cricket']
['Kheyrabad, Faruj', 'Persian language']
['Wenceslaus II, Duke of Cieszyn', 'Polish language']
['BRP Francisco Dagohoy (MMOV-5002)', 'Bureau of Fisheries and Aquatic Resources']
['Steampunk', 'Genre']
['Jackson Rhoads', 'Electric guitar']
['Gajahmada Mojosari Stadium', 'Stadium']
['Morrinhosuchus', 'Genus']
['Charles Innes-Ker, 11th Duke of Roxburghe', 'Captain (British Army and Royal Marines)']
['Lucy Washburn', 'San Francisco Bay Area']
['Roelof Koets', 'Haarlem']
['Ryszardów, Kutno County', 'Village']
['Ditto (2000 film)', 'Korean language']
['Ospan Batyr', 'Kazakh language']
['M. R. Raghava Varier', 'Epigraphy']
['Kenan Yelek', 'Giresun']
['Buonsignori Map', 'Axonometric projection']
['The Silent Duel (1967 film)', 'Albanian language']
['Chaddock reflex', 'Reflex']
['Stan Vanden Eynde', 'Association football']
['2018 South Dakota elections', 'U.S. state']
['Darienine', 'Cholinergic']
['Alexander de Mowbray', 'Edward Balliol']
['Newcastle Australian Football League', 'Australian rules football']
['William Willmott', 'Western Australian Legislative Assembly']
['Beaver (community), Marinette County, Wisconsin', 'Unincorporated area']
['Catholic Presbytery, Toodyay', 'Clergy house']
['Stefan Stepanov', 'Ice hockey']
['List of windmills in East Flanders', 'Windmill']
['2017–18 Milan Ciga Vasojević Cup', 'Milan Ciga Vasojević Cup']
['Stanley Christodoulou', 'Greek language']
['Aleksander Chudek', 'Flying ace']
['Hartmut Beug', 'Hamburg']
['Groupe de ravitaillement en vol 2/91 Bretagne', 'French language']
['Kaleeswaram Raj', 'Supreme Court of India']
['2004 Anzac Test', 'Test match (rugby league)']
['Claudine Dianne Ryce', 'Miami']
['Banking in South Sudan', 'Bank of South Sudan']
['Dirk Schuster', 'Association football']
['Carlo La Vecchia', 'Epidemiology']
['2012 Angelo State Rams football team', 'Angelo State University']
['Meridian Mail', 'Voicemail']
['Steve Topper', 'Rugby league']
['Tanner Jaillet', 'Ice hockey']
['Ystrad Mynach railway station', 'Train station']
['Luvua River', 'River']
['Engage Mutual Charity Man of the Match Award', 'Super League']
['Diplodiscus scortechinii', 'Flowering plant']
['1967 in German television', 'Television in Germany']
['Setchelliogaster', 'Genus']
['Robert Michels (physician)', 'Weill Cornell Medicine']
["It's My Party (tour)", 'Concert tour']
['Paranephelium spirei', 'Sapindaceae']
['New Communist Party of Britain', 'Crown Dependencies']
['Winterstein (Saxon Switzerland)', 'Saxon Switzerland']
['Red Scaffold Creek', 'Stream']
['Lovers Key State Park', 'List of Florida state parks']
['Luda Yana', 'Bulgarian language']
['General Studies', 'Bachelor of General Studies']
['Henrique Lemle', 'Reform Judaism']
['AKMSU', 'Russian language']
['Francisco Polti Santillán', 'Prelate']
['Nokuthula Ndlovu', 'Association football']
['Pattern glare', 'Op art']
['Suzuka Morita', 'Yamashina-ku, Kyoto']
['Cambridge University Eco Racing', 'Solar car racing']
['Even Lambs Have Teeth', 'Kirsten Prout']
['Wisconsin Intercollegiate Athletic Conference', 'National Collegiate Athletic Association']
['Hemker, Missouri', 'Unincorporated area']
['Ray County, Missouri', 'County (United States)']
["The Lion's Game", 'Nelson DeMille']
['V. Kopperapadu', 'Ballikurava']
['Willie Wilson (drummer)', 'Pink Floyd']
['List of Star Wars planets and moons', 'Fictional universe']
['Volodymyr Horbulin', 'Ukrainian language']
['Julius Bayerle', 'Kunstakademie Düsseldorf']
['Hemer Provincial Park', 'Provincial park']
['Manjoor (village)', 'Kottayam district']
['Blue Route (Nova Scotia)', 'Long-distance cycling route']
['Septoria lycopersici', 'Fungus']
['Shine True', 'OutTV (Canadian TV channel)']
['Kanzeon-ji', 'Buddhist temple']
['Zakhmi Sipahi', 'Hindi']
['HMS Spenser', 'Thornycroft type destroyer leader']
['Mahaffie House', 'Olathe, Kansas']
['2002 Czech legislative election', 'Miloš Zeman']
['Bangladesh at the 2009 Asian Youth Games', 'Bangladesh']
['Autophobia', 'Specific phobia']
['Lingerhahn', 'Verbandsgemeinde']
['Main line of resistance', 'Trench warfare']
['Alicia Dean', 'Cricket']
['A47 autoroute', 'France']
['East Lancaster Township, Keokuk County, Iowa', 'Township (United States)']
['Intangible Cultural Property (Japan)', 'Government of Japan']
['Susuzkınık, Bolu', 'Bolu District']
['Thermistor', 'Resistor']
['Christian August Anker', 'Halden']
['Mount Ling (Beijing)', 'Chinese language']
['Alsip, Illinois', 'Cook County, Illinois']
['The Incorporated Knight', 'Fix-up']
['Paintlick, Virginia', 'Unincorporated area']
['Anglican Diocese of Mbaise', 'Anglican Province of Owerri']
['Meșeni', 'Rezina District']
['Black Mountains, Wales', 'Welsh language']
['Yellowhead Lake', 'Lake']
['James K. Okubo', 'United States Army']
['Trichosporonaceae', 'Apiotrichum']
['Gary Stites', 'Top 40']
["Wrestling at the 2020 Summer Olympics – Women's freestyle 76 kg", '2020 Summer Olympics']
['Auterive, Tarn-et-Garonne', 'Occitan language']
['Sophia Mundi Steiner School', 'Abbotsford, Victoria']
["Clara's Heart", 'Drama (film and television)']
['Mathew Waters (sound engineer)', 'Audio engineer']
['Fafá de Belém', 'Belém']
['1962–63 Manchester United F.C. season', 'Manchester United F.C.']
['Kim Song-nam (politician)', 'Korean language']
['Monsters in Love', 'France']
['Mole Mania', 'Japan']
['Jack Ormston', 'West Cornforth']
['Embassy of Azerbaijan, Moscow', 'Moscow']
['2001 Myrtle Beach tornadoes', 'Myrtle Beach, South Carolina']
['Miss America 2013', 'Miss America']
['Derin Ologbenla', 'List of rulers of Ife']
['1985 New Hampshire Wildcats football team', 'American football']
['Europeans in Medieval China', 'History of China']
['Per G. Nyman', 'List of Swedish professional golfers']
['Sengunthar Higher Secondary School', 'Erode']
['D-tryptophan N-acetyltransferase', 'Enzyme']
['Mujahideen Shura Council (Iraq)', 'Abu Musab al-Zarqawi']
['E. A. Mitchell', 'World War II']
['Calhoun, Alabama', 'Unincorporated area']
['Asia World station', 'Manila Light Rail Transit System']
['Joseph Mitchell (city manager)', 'City manager']
['Jan Ciepiela', 'Świętochłowice']
['2004–05 New York Rangers season', 'List of New York Rangers seasons']
['Olivia Harrison', 'George Harrison']
['Hiroki Shimowada', 'Voice acting in Japan']
['Ventriculectomy', 'Cardiac surgery']
['Ola Borten Moe', 'Norwegians']
['British propaganda during World War II', 'World War I']
['Jonathan Whitehead', 'Lancashire']
['Rosenberger v. University of Virginia', 'Supreme Court of the United States']
['Rednecks, White Socks and Blue Ribbon Beer', 'Bob McDill']
['Commonwealth Railways K class', '2-8-0']
['D. A. Clarke', 'Radical feminism']
['SEW Eurodrive', 'Germany']
['Chōjayama Kanga ruins', 'Archaeological site']
['Jana Jamnicky', 'Handball']
['Cacupira', 'Genus']
['Home Again (2012 film)', 'Drama (film and television)']
['Freedoms Foundation', 'Valley Forge National Historical Park']
['Deaths in February 1993']
['2-Deoxystreptamine N-acetyl-D-glucosaminyltransferase', 'Enzyme Commission number']
['Serene Jones', 'Chancellor (education)']
['Majorda Junction railway station', 'South Goa district']
['KanJam', 'Frisbee']
['Mau Marcelo', 'Filipinos']
['Lee Wilkinson', 'Nottingham']
['Dunsmuir Tunnel', 'Rapid transit']
['Lookout Mountain, Alabama', 'Census-designated place']
['Nordperd', 'Slavic languages']
['Solovei iz sela Marshyntsi', 'Ukrainian language']
['Mariano Fernández Bermejo', 'Arenas de San Pedro']
['Ray McSavaney', 'Black and white']
['Alex Carter (cornerback)', 'American football']
['María Guevara', 'Association football']
['Synoptic scale meteorology', 'Atmospheric physics']
['1972 Birthday Honours', 'Orders and decorations of the Commonwealth realms']
['SN postcode area', 'England']
['Masalembu Island', 'Java Sea']
['Here She Comes', 'Bonnie Tyler']
['Glasgow, Ontario', 'Regional Municipality of Durham']
['Kevin Nelson (broadcaster)', 'Ottawa']
['Ally McLeod', 'Glasgow']
['Tampa Tarpons', 'Minor League Baseball']
['1994 Mayo West by-election', 'Pádraig Flynn']
['Nuclear magnetic resonance spectroscopy of nucleic acids', 'Nuclear magnetic resonance spectroscopy']
['Ayawaso East', 'Electoral district']
["2018 World Para Athletics European Championships – Women's discus throw", 'Discus throw']
['Tibor Bédi', 'Budapest']
['The Spy Swatter', 'Warner Bros.']
['A22 road (Sri Lanka)', 'List of A-Grade highways in Sri Lanka']
['Spiceland, Indiana', 'Spiceland Township, Henry County, Indiana']
['Monterey, Virginia', 'Town']
['Alex Melrose', 'South Australia']
['The Young Stranger', 'Drama (film and television)']
['Lartey Sarpong', 'Association football']
['Ian Johnstone (broadcaster)', "Queen's Service Order"]
['Ramu Upazila', 'Bengali language']
['Glashaus (album)', 'Glashaus']
['Anando Brahma', 'Telugu language']
['John Cho', 'Harold & Kumar']
['Fadi Abou Chebel', 'Mariamite Maronite Order']
['Ron Shudra', 'Ice hockey']
['Blendoku', 'Puzzle video game']
['Far Off Grace', 'Progressive metal']
['Travis Waddell', 'Rugby league']
['Zhuge Ke', 'Courtesy name']
['Aqan', 'Persian language']
['Mi Mi Gyi', 'Burmese language']
['K-5 (education)', 'Education']
['Edre Elskamp', 'Aruba']
["Bull's Head, Strand-on-the-Green", 'Listed building']
['Kedgaon, Ahmednagar district', 'Ahmednagar district']
["Bada'i' al-Sana'i'", 'Arabic']
['Ray Johnson and the Bystanders', 'United States']
['Đàn môi', 'Hmong people']
['Dave Johnson (record producer)', 'Record producer']
['Complutum', 'Ancient Rome']
['Fujitec', 'Elevator']
['Card Sound Bridge', 'Toll road']
['Eagle Creek (Arizona)', 'Clifton, Arizona']
['Chester-le-Street United F.C.', 'Chester-le-Street']
['Vielle-Saint-Girons', 'Gascon dialect']
['Carnforth Cricket Club', 'Carnforth']
['Winchester Cathedral', 'Winchester']
["Swimming at the 2008 Summer Paralympics – Women's 100 metre backstroke S9", '2008 Summer Paralympics']
['Portrait of a Woman, Nude', 'Mystery film']
['Professional Writers Association of Canada', 'Professional association']
['Oregon Sentinel', 'Southern Oregon']
['Wes Watkins', 'U.S. state']
['Lucia Valerio', 'Italians']
['Silhouettes and Statues: A Gothic Revolution 1978-1986', 'Gothic rock']
['Epaltes', 'Genus']
['Blountstown High School', 'Blountstown, Florida']
['Héctor Núñez (footballer, born 1992)', 'Chile']
['Killing of Sharon Lopatka', 'Hampstead, Maryland']
['Rodney Tom', 'Washington (state)']
['The Imam and the Indian', 'Amitav Ghosh']
['Ellagiri', 'Nalgonda district']
['McMeniman']
['Mario Reilly', 'Argentina']
['Ian Blyth', 'Swimming (sport)']
['Ivan Santos (footballer, born 1982)', 'Football in Brazil']
['Filatov Lug (Moscow Metro)', 'Moscow Metro']
['Shivaji III of Thanjavur', 'Serfoji III']
['Valledolmo', 'Sicilian language']
["Da'am Workers Party", 'Arabic']
['Centrifugal-type supercharger', 'Supercharger']
['Ernest Ingersoll', 'Americans']
['Grand Slam of Curling', 'Curling']
['Muotkavaara', 'Finnish language']
['Show You Colour', 'Simplified Chinese characters']
['Saleem Shehzad', 'Urdu']
['Lesser pipefish', 'Auguste Duméril']
['Glottal consonant', 'Consonant']
['Chaumette']
["Phil O'Shea", 'Screenwriter']
['Scott Smith (musician)', 'Bass guitar']
['Verbal Kent', 'Hip hop music']
['Dan Jansen', 'Speed skating']
['Johan Manusama', 'Republic of South Maluku']
['Ricochet (Teresa Brewer song)', 'Popular music']
['Norman Stillman', 'Academy']
['Paul Zucker', 'Berlin']
['Second Taiwan Strait Crisis', 'China']
['John Friend Mahoney', 'Syphilis']
['Kathleen Stoody', 'North Vancouver (city)']
['Lloyd Casner', 'Miami']
["Queen Mary's Song", 'Edward Elgar']
['A Madonna in Laleli', 'Turkish language']
['V (The Horrors album)', 'The Horrors']
['Mubarak Ata Mubarak', '110 metres hurdles']
['Division of Watson (1934–1969)', 'Divisions of the Australian House of Representatives']
["Citizens' Party (Singapore)", 'Simplified Chinese characters']
["2014 European Athletics Championships – Women's hammer throw", 'Hammer throw']
['Te Mihi Power Station', 'Geothermal power']
['Walter Kaitna', 'Field hockey']
["Pete Kelly's Blues (song)", 'Popular music']
['Ovingdean', 'Civil parish']
['Battle of Lechfeld', 'Kingdom of Germany']
['Madison County, Ohio', 'County (United States)']
['Nukabad, Dalgan', 'Persian language']
['National Register of Historic Places listings in Tillman County, Oklahoma', 'National Register of Historic Places']
['Akari Kurishima', 'Association football']
['Mulite', 'German language']
['Jack Kadwell', 'Rugby league']
['EMTEC', 'Computer data storage']
['Minister of Social Development (South Africa)', 'Minister (government)']
['Valley Township, Pottawattamie County, Iowa', 'Township (United States)']
['Aeronautical radio station', 'International Telecommunication Union']
['Reunited with Jimmy Webb 1974–1988', 'Glen Campbell']
['Lagos State Ministry of Physical Planning and Urban Development', 'Federal government of Nigeria']
['Au Bon Climat', 'Winery']
['Pseudoelementary class', 'Logic']
['Northern tamandua', 'Tamandua']
['Kyai', 'Islam']
['Porter–Todd House', 'Italianate architecture']
['Staala', 'Slug']
['The Entrance to Porlock', 'Frederick Buechner bibliography']
['Wang Weidong', 'Baisha Li Autonomous County']
['Nora Fernández', '2018 Mediterranean Games']
['Honnywill Peak', 'Geographic coordinate system']
['Odites tinactella', 'Moth']
['Chirakkal railway station', 'Kannur district']
['Kuvshinovo, Sokolsky District, Vologda Oblast', 'Russian language']
['List of national presidents of the Boy Scouts of America', 'National Executive Board of the Boy Scouts of America']
['Stalley discography', 'Stalley']
['Rodrigo Broa', 'Imperatriz']
['Biden v. Texas', 'Supreme Court of the United States']
['Maritrema', 'Genus']
['Triatoma infestans', 'Hemiptera']
['Pickling salt', 'Salt']
['Janne Vellamo', 'Finland']
['Ulrich Schindler', 'Bobsleigh']
['Roelof Wunderink', 'Eindhoven']
['Carenum porphyreum', 'Ground beetle']
['Southend Manor F.C.', 'Association football']
['Inside director', 'Board of directors']
['La Viña Canton', 'Anzaldo Municipality']
['University of Provence', 'French language']
['Cahas Mountain Rural Historic District', 'Historic districts in the United States']
['James Lewin McGregor', 'Crawford Bay, British Columbia']
['Cordia obliqua', 'Cordia']
['Luc Steels', 'Belgium']
['Ri Hyok-chol (footballer, born 1973)', 'Korean language']
['K.P.M. Trust', 'Coimbatore']
['Javier Mascaró', 'Chileans']
['Blue Board (software)', 'Bulletin board system']
['Chōfu Domain', 'Han system']
['John Simpson (basketball)', 'Haydock']
['Edward Pasquale', 'Canadians']
['Jeanie Collier', 'Palace of Monimail']
['Strongylognathus silvestrii', 'Ant']
['Zanthoxylum fagara', 'Flowering plant']
['Ilyinsky, Moscow Oblast', 'Russian Census (2010)']
['Mary Healy (entertainer)', 'Peter Lind Hayes']
['2017 WPI Engineers football team', 'Worcester Polytechnic Institute']
['Pietra-di-Verde', 'Communes of France']
['Shag Point', 'East Otago']
['Mr. California Clothing', 'Santa Cruz, California']
['KYXY', 'FM broadcasting']
['Samuel Ong', 'National Bureau of Investigation (Philippines)']
['Sergio (album)', 'Album']
['Koichi Suzuki', 'Professional golfer']
['Aubrey Matthews', 'American football']
['Rathedaung', 'Burmese language']
['Bruno Souza (programmer)', 'Java (programming language)']
['Polymedium', 'Ancient Greek']
['Robertus pumilus', 'Theridiidae']
['Aavanikunnile Kinnaripookkal', 'Cinema of India']
['Hans Matthöfer', 'Social Democratic Party of Germany']
['Knud Arne Petersen', 'Denmark']
['Firearm', 'Gun']
['Raphe nuclei', 'Greek language']
['Bobby Duffy', 'Dublin']
['MK285', 'Air burst']
['Andy Lin', 'Big Buck Hunter']
['List of newspapers in Belarus', 'Belarus']
['WMST', 'AM broadcasting']
['Bran and Sceólang', 'Fionn mac Cumhaill']
['Sir Thomas Brooke, 1st Baronet', 'Deputy lieutenant']
['Title 12 of the United States Code', 'Bank']
['Gary Buchanan', 'Basketball']
['Hughes Stadium (Morgan State)', 'Multi-purpose stadium']
['University of Fine Arts of Hamburg', 'Uhlenhorst']
['Edmonton-Kingsway', 'Provinces and territories of Canada']
['Eumichtis', 'Subgenus']
['Mitsubishi UFJ Trust and Banking Corporation', 'Mitsubishi UFJ Financial Group']
['Mark Stone (journalist)', 'United States']
['Cycle responder', 'Paramedic']
['Koszewko', 'Village']
['Rural Youth Europe', 'Germany']
['Marisa (given name)', 'Given name']
['Christianshavns Enveloppe', 'Outwork']
['Dean, California', 'Unincorporated area']
['Nalovardo', 'Swedes']
['Aki Toyosaki', 'Kenkō Zenrakei Suieibu Umishō']
['Pittsburgh Hornets', 'Ice hockey']
['X Factor (Romanian TV series)', 'Romania']
['Minera Valparaíso', 'Índice de Precio Selectivo de Acciones']
['1996 Campeonato Paulista', 'Campeonato Paulista']
['Water privatization in Honduras', 'Water supply and sanitation in Honduras']
['Joyzelle Joyner', 'The Sign of the Cross (1932 film)']
['Failed States (book)', 'Noam Chomsky']
['Gone South', 'Music festival']
['Côte de Beaune', "Côte d'Or (escarpment)"]
['Annerley Road', 'Arterial road']
['Pilgrimage centres near Ernakulam city', 'Malayalam']
['The Trail of Bohu', 'Sword and sorcery']
['M7 highway (Russia)', 'Trunk road']
["2015 NCAA Division I men's basketball championship game", "2015 NCAA Division I men's basketball tournament"]
['Karl Schediwy', 'Table tennis']
['The Well (2015 film)', 'French language']
['Henry Franks House', 'Allegan, Michigan']
['Pogonocherus caroli', 'Beetle']
['Amthor']
['Heister House', 'Art Deco']
['Kevin Godley', 'Music video director']
['Strangea stenocarpoides', 'Proteaceae']
['Melanapamea mixta', 'Moth']
['Badhni Kalan', 'Moga district']
['Tami (given name)', 'Given name']
['First Congress of Lithuanian Women', 'Lithuanian language']
['Tingelstad', 'Gran, Norway']
['Shewhart Medal', 'Walter A. Shewhart']
['Aelfrida Tillyard', 'Author']
['Jun Tae-soo', 'Korean language']
['John Anders Bjørkøy', 'Norway']
['Robert Burdet (Warks MP 1320)', 'Member of parliament']
['Amila Weththasinghe', 'Cricket']
['Hunanese people', 'Chinese language']
['Jo Luxton', 'Member of parliament']
['Aliabad-e Sarhadi', 'Persian language']
['Zoltán Péter', 'Zalaistvánd']
['Victoria City Hall', 'Seat of government']
['Hedong, Nanbu County', 'Simplified Chinese characters']
['Caslon', 'Serif']
['David McConaughy', 'Lawyer']
['Self-Titled Tour', 'Rock music']
['G.S. Tregear', 'Caricature']
['Dinda', 'Brazil']
['Anton Joachimsthaler', 'Vrchlabí']
['Simon Faber', 'Flensburg']
['Bulbophyllum odoratissimum', 'Orchid']
['Zale phaeocapna', 'Moth']
['1948 college football season', '1948 Michigan Wolverines football team']
['Sije Visser', 'Eredivisie']
['Charles T. How', 'Bar Harbor, Maine']
['2013 Categoría Primera B season', 'Categoría Primera B']
['Rolls-Royce Pegasus', 'Turbofan']
['Short-barreled rifle', 'Rifle']
['3rd Caucasus Army Corps', 'Russian Empire']
['Riem Hussein', 'Association football']
['Hemoglobin subunit alpha', 'Hemoglobin']
['The Feast of the Gods', 'Oil painting']
['Pierre Claes', 'Cycle sport']
['La Fare-en-Champsaur', 'Communes of France']
['N. S. Palanisamy', 'Politics of India']
['Dmitri Lyudvigovich Tomashevich', 'Russian language']
['Oncology Drug Advisory Committee', 'Food and Drug Administration']
['Deportivo Colonia', 'Uruguay']
['Triangle Town Center', 'Shopping mall']
['Otto Boehler', 'United States Army']
['Gunhild', 'Germanic languages']
['Cardroom Amalgamation', 'Trade union']
["South Korea women's national under-19 volleyball team", 'South Korea']
['Peter Daniel Bruun', 'Denmark']
['Hiroki Kikuta', 'Video game music']
['2001 Davis Cup Asia/Oceania Zone Group III']
['Onyoti Adigo Nyikec', 'South Sudan']
['Ernie Adams (American football)', 'American football']
['Mitch Keller', 'Professional baseball']
['2006–07 Taça de Portugal', 'Taça de Portugal']
['West Point, New York', 'Hudson River']
['A52 autoroute', 'Bouches-du-Rhône']
['Adelheid (abbess of Müstair)', 'Saint John Abbey, Müstair']
['Tunis Light Metro', 'Tunisian Arabic']
['Decibel (band)', 'Punk rock']
['Bhabatarak Bhattacharyya', 'Colchicine']
['Willanzheim', 'Market town']
['Colliding Branes', 'Science fiction']
["Volleyball at the 2011 Pan Arab Games – Men's tournament", 'Volleyball at the 2011 Pan Arab Games']
['Playout', 'Digital radio']
['The Baker and the Beauty (American TV series)', 'Romantic comedy']
['Trechus dilutus', 'Ground beetle']
['Brûlé Lake (Stewart Township)', 'Lake']
['Lean Horse Ultramarathon', 'Ultramarathon']
['Stanford Warren', 'Stanford-le-Hope']
['Tajabad, Tabas', 'Persian language']
['Nikos Papanikolaou', 'Greek language']
['Mount Wellington cable car proposals', 'Mount Wellington (Tasmania)']
['Lloyd Smith (cricketer)', 'Cricket']
['Central Plaza (Hong Kong)', 'Storey']
['Thomas Erskine (theologian)', 'Advocate']
["2018 Japan women's national football team", "Japan women's national football team"]
['Gabriel Marselis Sr.', 'Hamburg']
['Xyloskenea naticiformis', 'Species']
['Metis (American musician)', 'Hip hop music']
['Vetrino Municipality', 'Bulgarian language']
['Toxopneustes maculatus', 'Species']
['Sibylla pretiosa', 'Mantis']
['Horton Creek (Arizona)', 'Mogollon Rim']
['Suddenly (Caribou album)', 'Dan Snaith']
['Jaladi Raja Rao', 'Telugu language']
["Anne O'Brien (athlete)", '1928 Summer Olympics']
['Sialoendoscopy', 'Minimally invasive procedure']
['Tai (given name)']
['Red Bluff High School', 'State school']
['Marilyn vos Savant', 'Column (periodical)']
['3500 South MAX', 'Bus rapid transit']
['Gray Tollison', 'Republican Party (United States)']
['List of Computer Chronicles episodes', 'Computer Chronicles']
['Jurassic 5 (EP)', 'Hip hop music']
['Dunin', 'Poland']
['Bakolori Dam', 'Sokoto State']
['Stenobatyle gracilis', 'Beetle']
['Microlera kanoi', 'Beetle']
['Berginus nigricolor', 'Mycetophagidae']
['Eric Green (tight end)', 'Savannah, Georgia']
["Leslie D'Arcy", 'Victorian Legislative Assembly']
['Pietro Rotari', 'Baroque']
['Monato', 'Magazine']
['Hermann Hölter', 'Modern pentathlon']
['Neptunea alexeyevi', 'Species']
['Astana Cemetery', 'Chinese language']
['Rudnik, Gmina Rudnik', 'Village']
['John Lauder (priest)', 'Christ Church Cathedral (Ottawa)']
['Ribault Inn Club', 'Fort George Island']
['Code page 851', 'CCSID']
['Byrd Township, Brown County, Ohio', 'Civil township']
['Red–red coalition', 'Coalition government']
['The Hypocrites (1965 film)', 'Argentina']
['Incessant Visions', 'Duki Dror']
['Len Graham (singer)', 'Irish traditional music']
['Julia McEntee Dillon', 'Kingston, New York']
['Corn picker', 'Combine harvester']
['KBSL-DT', 'Television station']
['Papilio amynthor', 'Butterfly']
['Aldworth Manor', 'Harrisville, New Hampshire']
['Zamch', 'Gmina Obsza']
['Empress Dowager Hu (Northern Qi)', 'History of China']
["2013–14 Washington Huskies women's basketball team", 'University of Washington']
['Catherine Clark Kroeger', 'Christians for Biblical Equality']
["St Peter's Church, Chester", 'Chester']
['Thesaurica notodontalis', 'Moth']
['Jesús Federico Reyes Heroles', 'Institutional Revolutionary Party']
['Craig Moore (footballer, born 2005)', 'Scotland']
['Robin de Levita', 'Theatre']
['Mr. Bill the Conqueror', 'Comedy film']
['Anita Tomulevski', 'Norway']
["Seine-Maritime's 6th constituency", 'Seine-Maritime']
['One Night Stand (Dutch TV series)', 'VPRO']
['Marcel Dyf', 'Impressionism']
['Suleiman Omar', 'Chama Cha Mapinduzi']
['Odongo', 'Warwick Films']
['Mbouanatsa', 'Communes of France']
['Matazō Kayama', 'Nihonga']
['Sean Gallagher (baseball)', 'Baseball']
['Ana Kasparian', 'Progressivism']
['Ouvrage Téting', 'Maginot Line']
['Entolimod', 'Statera BioPharma']
['Red Lanterns (Boxer Uprising)', 'Simplified Chinese characters']
['880s BC']
['Western yellow robin', 'Bird']
['Love at 0°C', 'Channel 8 (Singaporean TV channel)']
['Lincoln American Tower', 'Memphis, Tennessee']
['2006 Colorado Amendment 44', 'Referendum']
['Grandpa Walrus', 'Animation']
['Ricardo Morales-Hernández', 'Contemporary art']
['Clean Hands of Vojvodina', 'Serbian language']
['List of shipwrecks in September 1867', 'Ship']
